INFO | 03/10/2020 07:27:22 PM File "dataset/Sadness/xah" opened
INFO | 03/10/2020 07:27:23 PM File "dataset/Sadness/xah" read
INFO | 03/10/2020 07:27:23 PM RawText object initialized using text starting with "i can..."
INFO | 03/10/2020 07:27:23 PM Cleaning text at level "50"
INFO | 03/10/2020 07:27:32 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:27:32 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:27:32 PM Counting words occurrences
INFO | 03/10/2020 07:28:03 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:28:03 PM AbstractText object initialized
INFO | 03/10/2020 07:28:03 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:28:03 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:28:03 PM File "dataset/Sadness/xai" opened
INFO | 03/10/2020 07:28:03 PM File "dataset/Sadness/xai" read
INFO | 03/10/2020 07:28:03 PM RawText object initialized using text starting with "i don..."
INFO | 03/10/2020 07:28:03 PM Cleaning text at level "50"
INFO | 03/10/2020 07:28:16 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:28:16 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:28:16 PM Counting words occurrences
INFO | 03/10/2020 07:28:37 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:28:37 PM AbstractText object initialized
INFO | 03/10/2020 07:28:37 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:28:37 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:28:37 PM File "dataset/Sadness/xaj" opened
INFO | 03/10/2020 07:28:37 PM File "dataset/Sadness/xaj" read
INFO | 03/10/2020 07:28:37 PM RawText object initialized using text starting with "i've ..."
INFO | 03/10/2020 07:28:37 PM Cleaning text at level "50"
INFO | 03/10/2020 07:28:45 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:28:45 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:28:45 PM Counting words occurrences
INFO | 03/10/2020 07:29:05 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:29:05 PM AbstractText object initialized
INFO | 03/10/2020 07:29:05 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:29:05 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:29:05 PM File "dataset/Sadness/xak" opened
INFO | 03/10/2020 07:29:05 PM File "dataset/Sadness/xak" read
INFO | 03/10/2020 07:29:05 PM RawText object initialized using text starting with "i fee..."
INFO | 03/10/2020 07:29:05 PM Cleaning text at level "50"
INFO | 03/10/2020 07:29:14 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:29:14 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:29:14 PM Counting words occurrences
INFO | 03/10/2020 07:29:36 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:29:36 PM AbstractText object initialized
INFO | 03/10/2020 07:29:36 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:29:36 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:29:36 PM File "dataset/Sadness/xal" opened
INFO | 03/10/2020 07:29:36 PM File "dataset/Sadness/xal" read
INFO | 03/10/2020 07:29:36 PM RawText object initialized using text starting with "i fee..."
INFO | 03/10/2020 07:29:36 PM Cleaning text at level "50"
INFO | 03/10/2020 07:29:45 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:29:45 PM Cleaning up useless attributes to free memory
